event_id,time_utc,origin_time_utc,event_lat,event_lon,event_depth_km,lat,lon,depth_km,source_x_km,source_y_km,source_z_km,magnitude,magnitude_type,phases,rms_s,gap_deg,error_lat_km,error_lon_km,error_depth_km,region,status,source_depth_class,n_picks,n_stations,stations,selection_source,rms_source,selection_group,quakeml_url,phases_url,map_url,xml_file,selection_score
SGC2023vzpirs,2023-11-08 09:18:12,2023-11-08T09:18:12.580000Z,7.432833333,-74.07966667,25.73,7.433,-74.08,25.73,-119.29262689786889,48.18300662955996,25.73,2.6,MLr_vmm,101,0.9,46.0,0.707,0.707,1.9,"San Pablo - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 CPAMP PAM PDSC PTB PTB1,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2023vzpirs&file=SGC2023vzpirs.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2023vzpirs&date=2023-11-08_13:15:42&anio=2023,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.432833333&lon=-74.07966667&fc=2023-11-08_09:18:12&pf=25.73&mg=2.6&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023vzpirs.xml,109.56666666666668
SGC2023tdymfy,2023-09-29 06:22:37,2023-09-29T06:22:37.710000Z,7.1925,-73.78916667,23.81,7.193,-73.789,23.81,-87.19521287486266,21.429099999999988,23.81,2.1,MLr_vmm,66,0.7,51.0,0.778,0.778,2.0,"Barrancabermeja - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 CPAMP PAM PDSC PTB PTB1,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2023tdymfy&file=SGC2023tdymfy.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2023tdymfy&date=2023-09-29_15:25:09&anio=2023,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.1925&lon=-73.78916667&fc=2023-09-29_06:22:37&pf=23.81&mg=2.1&dm=Barrancabermeja_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023tdymfy.xml,106.85000000000001
SGC2023wlnqql,2023-11-14 21:20:46,2023-11-14T21:20:46.609999Z,7.237166667,-73.32583333,34.34,7.237,-73.326,34.34,-36.0014020499306,26.40139337044004,34.34,2.8,MLr_vmm,98,0.8,34.0,0.778,0.778,1.3,"Lebrija - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 CPAMP PAM PDSC PTB PTB1,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2023wlnqql&file=SGC2023wlnqql.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2023wlnqql&date=2023-11-14_22:32:53&anio=2023,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.237166667&lon=-73.32583333&fc=2023-11-14_21:20:46&pf=34.34&mg=2.8&dm=Lebrija_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023wlnqql.xml,112.81666666666666
SGC2025qrozun,2025-08-25 04:50:13,2025-08-25T04:50:13.039999Z,7.1245,-73.44416667,34.12,7.125,-73.444,34.12,-49.07608090261717,13.85934000000003,34.12,1.9,MLr_vmm,32,0.6,66.0,0.919,0.919,2.0,"Betulia - Santander, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 CPAMP PAM VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025qrozun&file=SGC2025qrozun.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025qrozun&date=2025-08-25_05:10:38&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.1245&lon=-73.44416667&fc=2025-08-25_04:50:13&pf=34.12&mg=1.9&dm=Betulia_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025qrozun.xml,88.1
SGC2026boggwn,2026-01-22 22:08:01,2026-01-22T22:08:01.470000Z,7.711,-73.73683333,44.87,7.711,-73.737,44.87,-81.41288970382337,79.14852000000003,44.87,2.3,MLr_vmm,56,0.6,31.0,0.778,0.778,2.6,"Rionegro - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026boggwn&file=SGC2026boggwn.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026boggwn&date=2026-01-22_22:20:17&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.711&lon=-73.73683333&fc=2026-01-22_22:08:01&pf=44.87&mg=2.3&dm=Rionegro_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026boggwn.xml,109.11666666666667
SGC2025pgzatv,2025-08-05 06:07:28,2025-08-05T06:07:28.339999Z,7.723166667,-73.75666667,43.88,7.723,-73.757,43.88,-83.60428015283965,80.50291337044001,43.88,1.6,MLr_vmm,38,0.5,40.0,0.919,0.919,2.1,"Puerto Wilches - Santander, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 CPAMP PAM VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025pgzatv&file=SGC2025pgzatv.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025pgzatv&date=2025-08-06_10:10:34&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.723166667&lon=-73.75666667&fc=2025-08-05_06:07:28&pf=43.88&mg=1.6&dm=Puerto_Wilches_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025pgzatv.xml,92.51666666666668
SGC2025yxrhgz,2025-12-19 19:56:58,2025-12-19T19:56:58.990000Z,7.457166667,-73.291,51.5,7.457,-73.291,51.5,-32.15265914180683,50.891793370440006,51.5,1.7,MLr_vmm,25,0.5,170.0,1.485,1.485,4.1,"El Playón - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025yxrhgz&file=SGC2025yxrhgz.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025yxrhgz&date=2025-12-19_20:47:08&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.457166667&lon=-73.291&fc=2025-12-19_19:56:58&pf=51.5&mg=1.7&dm=El_Play�n_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025yxrhgz.xml,92.93333333333334
SGC2023scytrc,2023-09-14 13:30:24,2023-09-14T13:30:24.282262Z,7.31765396,-74.4568589,52.0703125,7.318,-74.457,52.07,-160.9686860117119,35.36123882720003,52.0703125,2.1,MLr_2,25,0.9,66.0,2.96,2.214,7.14,"Segovia - Antioquia, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 PAM PDSC PTB PTB1,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2023scytrc&file=SGC2023scytrc.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2023scytrc&date=2023-09-14_14:40:37&anio=2023,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.31765396&lon=-74.4568589&fc=2023-09-14_13:30:24&pf=52.0703125&mg=2.1&dm=Segovia_-_Antioquia,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2023scytrc.xml,78.88000000000001
SGC2026baehdu,2026-01-15 06:05:20,2026-01-15T06:05:20.579999Z,7.7865,-74.16983333,64.85,7.787,-74.17,64.85,-129.2551625849324,87.55318000000001,64.85,1.9,MLr_vmm,44,0.8,48.0,1.273,1.273,4.2,"Santa Rosa del Sur - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026baehdu&file=SGC2026baehdu.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026baehdu&date=2026-01-15_14:05:42&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.7865&lon=-74.16983333&fc=2026-01-15_06:05:20&pf=64.85&mg=1.9&dm=Santa_Rosa_del_Sur_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026baehdu.xml,100.3
SGC2025wvcvfj,2025-11-20 02:38:54,2025-11-20T02:38:54.560000Z,7.628833333,-74.03433333,67.64,7.629,-74.034,67.64,-114.28373539003512,70.00172662956003,67.64,3.8,MLr_vmm,99,0.9,33.0,0.849,0.849,4.1,"San Pablo - Bolívar, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 CPAMP PAM PTB1 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025wvcvfj&file=SGC2025wvcvfj.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025wvcvfj&date=2025-11-21_13:06:26&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.628833333&lon=-74.03433333&fc=2025-11-20_02:38:54&pf=67.64&mg=3.8&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025wvcvfj.xml,97.64999999999999
SGC2026afswai,2026-01-04 02:51:01,2026-01-04T02:51:01.149999Z,6.474166667,-74.1985,71.49,6.474,-74.199,71.49,-132.4225497644528,-58.53576662955995,71.49,2.3,MLr_vmm,95,0.8,32.0,0.707,0.707,2.1,"Cimitarra - Santander, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 PAM PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026afswai&file=SGC2026afswai.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026afswai&date=2026-01-05_13:32:54&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.474166667&lon=-74.1985&fc=2026-01-04_02:51:01&pf=71.49&mg=2.3&dm=Cimitarra_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026afswai.xml,97.13333333333333
SGC2025yymqxd,2025-12-20 06:41:46,2025-12-20T06:41:46.359999Z,7.077666667,-74.04,78.19,7.078,-74.04,78.19,-114.90984710474112,8.64585337043999,78.19,1.4,MLr_vmm,27,0.6,69.0,1.202,1.202,2.6,"Yondó (Casabe) - Antioquia, Colombia",manual,depth20_120,7,7,BAR2 BRJC PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025yymqxd&file=SGC2025yymqxd.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025yymqxd&date=2025-12-20_15:31:01&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.077666667&lon=-74.04&fc=2025-12-20_06:41:46&pf=78.19&mg=1.4&dm=Yond�_(Casabe)_-_Antioquia,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025yymqxd.xml,85.8
SGC2025xyrfux,2025-12-06 05:03:23,2025-12-06T05:03:23.920000Z,7.556833333,-73.98116667,84.33,7.557,-73.981,84.33,-108.4093384941986,61.98668662956001,84.33,1.9,MLr_vmm,44,0.5,55.0,0.849,0.849,1.9,"San Pablo - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025xyrfux&file=SGC2025xyrfux.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025xyrfux&date=2025-12-06_15:54:47&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.556833333&lon=-73.98116667&fc=2025-12-06_05:03:23&pf=84.33&mg=1.9&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025xyrfux.xml,106.86666666666666
SGC2026cmuvbi,2026-02-05 07:14:18,2026-02-05T07:14:18.000000Z,7.6555,-73.80266667,86.33,7.656,-73.803,86.33,-88.68683108247154,72.97026,86.33,1.9,MLr_vmm,44,0.5,55.0,0.919,0.919,2.0,"San Pablo - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026cmuvbi&file=SGC2026cmuvbi.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026cmuvbi&date=2026-02-05_14:17:35&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.6555&lon=-73.80266667&fc=2026-02-05_07:14:18&pf=86.33&mg=1.9&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026cmuvbi.xml,106.81666666666666
